_id,CRASH_CRN,MUNICIPALITY,POLICE_AGCY,CRASH_YEAR,CRASH_MONTH,DAY_OF_WEEK,BUS_COUNT,SMALL_TRUCK_COUNT,HEAVY_TRUCK_COUNT,SUV_COUNT,VAN_COUNT,BICYCLE_COUNT,FATAL_COUNT,INJURY_COUNT,MAX_SEVERITY_LEVEL,LATITUDE,LONGITUDE,DEC_LAT,DEC_LONG
216625,2022000044,2208,2208,2022,1,7,0,1,0,0,0,0,0,0,0,40 32:36.781,79 48:50.318,40.5436,-79.814
216626,2022000055,2301,2301,2022,1,7,0,0,0,0,0,0,0,0,0,40 25:46.054,79 58:57.726,40.4295,-79.9827
216627,2022000101,2301,2301,2022,1,7,0,0,0,1,0,0,0,1,3,40 27:39.175,79 54:54.637,40.4609,-79.9152
216628,2022000104,2304,2304,2022,1,7,0,0,0,0,2,0,0,0,0,40 21:17.439,79 50:26.967,40.3548,-79.8409
216629,2022000141,2448,2448,2022,1,7,0,0,0,0,0,0,0,1,4,40 23:43.000,79 53:58.500,40.3953,-79.8996
216630,2022000145,2477,2477,2022,1,7,0,1,0,1,0,0,0,1,4,40 20:02.800,79 48:44.827,40.3341,-79.8125
216631,2022000164,2301,2301,2022,1,7,0,0,0,2,0,0,0,0,0,40 23:12.790,79 59:43.633,40.3869,-79.9955
216632,2022000167,2301,2301,2022,1,7,0,0,0,0,0,0,0,1,3,40 25:29.700,79 58:45.700,40.4249,-79.9794
216633,2022000188,2301,2301,2022,1,7,0,0,0,0,0,0,0,0,0,40 27:39.052,79 52:06.094,40.4608,-79.8684
216634,2022000223,2301,2301,2022,1,1,0,1,0,1,0,0,0,0,0,40 27:16.298,79 52:54.364,40.4545,-79.8818
216635,2022000247,2466,2466,2022,1,1,0,1,0,1,0,0,0,0,0,40 27:42.019,79 42:21.666,40.4617,-79.706
216636,2022000294,2301,2301,2022,1,1,0,0,0,1,0,0,0,0,9,40 26:21.002,79 59:02.261,40.4392,-79.984
216637,2022000296,2454,2454,2022,1,1,0,0,0,2,1,0,0,1,3,40 20:20.492,79 57:37.905,40.339,-79.9605
216638,2022000307,2415,2415,2022,1,7,0,0,0,0,0,0,0,0,0,40 24:06.584,80 04:03.915,40.4018,-80.0678
216639,2022000324,2448,2448,2022,1,1,0,0,0,1,0,0,0,0,0,40 24:27.872,79 53:29.840,40.4077,-79.8916
216640,2022000348,2301,2301,2022,1,1,0,0,0,0,0,0,0,2,3,40 26:49.792,79 53:42.563,40.4472,-79.8954
216641,2022000388,2422,2503,2022,1,7,0,0,0,0,0,0,0,0,0,40 23:59.100,80 01:59.700,40.3998,-80.0333
216642,2022000395,2301,2301,2022,1,1,0,0,0,1,0,0,0,0,0,40 25:40.177,79 58:11.287,40.4278,-79.9698
216643,2022000396,2440,2440,2022,1,1,0,0,0,0,0,0,0,0,0,40 18:34.944,79 56:13.615,40.3097,-79.9371
216644,2022000397,2203,2203,2022,1,1,0,0,1,0,0,0,0,0,0,40 27:07.788,80 12:11.419,40.4522,-80.2032
216645,2022000408,2301,2301,2022,1,2,0,0,0,1,0,0,0,0,0,40 23:14.355,79 59:01.899,40.3873,-79.9839
216646,2022000456,2115,2115,2022,1,1,0,0,0,1,0,0,0,0,0,40 27:21.877,80 10:02.690,40.4561,-80.1674
216647,2022000464,2301,2301,2022,1,1,0,0,0,1,0,0,0,1,8,40 26:50.767,79 56:32.873,40.4474,-79.9425
216648,2022000471,2301,2301,2022,1,7,0,0,0,0,1,0,0,0,0,40 27:10.200,79 55:16.100,40.4528,-79.9211
216649,2022000482,2301,2301,2022,1,1,0,0,0,0,0,0,0,1,3,40 26:16.954,79 55:09.717,40.438,-79.9194
216650,2022000497,2301,2301,2022,1,2,0,0,0,2,0,0,0,0,0,40 27:47.698,79 57:26.562,40.4632,-79.9574
216651,2022000506,2301,2301,2022,1,2,0,0,1,0,0,0,0,0,0,40 28:38.654,79 59:37.816,40.4774,-79.9938
216652,2022000509,2454,2454,2022,1,2,0,0,0,2,0,0,0,1,3,40 19:15.923,79 56:31.678,40.3211,-79.9421
216653,2022000535,2413,2413,2022,1,2,0,0,0,1,0,0,0,0,9,40 22:32.959,79 59:01.812,40.3758,-79.9838
216654,2022000611,2301,2301,2022,1,1,0,0,0,1,0,0,0,0,0,40 27:28.700,79 58:26.500,40.458,-79.974
216655,2022000616,2403,2403,2022,1,2,0,0,0,0,0,0,0,0,0,40 20:33.377,79 59:06.940,40.3426,-79.9853
216656,2022000619,2217,2505,2022,1,2,0,0,0,1,0,0,0,1,4,40 38:01.060,79 56:19.250,40.6336,-79.9387
216657,2022000621,2116,2116,2022,1,1,0,0,0,0,0,0,0,0,0,40 33:02.000,80 01:09.400,40.5503,-80.0191
216658,2022000623,2123,2123,2022,1,2,0,0,0,3,0,0,0,0,0,40 19:06.585,80 06:49.501,40.3185,-80.1138
216659,2022000665,2473,2503,2022,1,2,1,0,0,0,0,0,0,0,0,40 21:43.555,79 55:55.812,40.3621,-79.9322
216660,2022000666,2301,2301,2022,1,2,0,0,0,2,0,0,0,1,3,40 28:03.194,79 57:49.386,40.4676,-79.9636
216661,2022000671,2301,2301,2022,1,2,0,1,0,1,0,0,0,0,0,40 25:39.090,80 00:01.281,40.4275,-80.0004
216662,2022000708,2115,2115,2022,1,2,0,0,0,1,0,0,0,0,0,40 28:12.025,80 08:10.384,40.47,-80.1362
216663,2022000808,2423,2304,2022,1,2,0,1,0,0,0,0,0,0,0,40 21:06.780,79 53:01.974,40.3519,-79.8839
216664,2022000811,2304,2304,2022,1,2,0,0,0,0,0,0,0,0,0,40 20:37.363,79 50:45.812,40.3437,-79.8461
216665,2022000819,2105,2105,2022,1,2,0,1,1,0,0,0,0,1,8,40 17:37.742,79 49:56.487,40.2999,-79.8285
216666,2022000824,2407,2407,2022,1,7,0,0,0,0,0,0,0,0,0,40 19:41.753,80 02:19.924,40.3283,-80.0389
216667,2022000826,2301,2301,2022,1,2,0,0,0,1,0,0,0,0,9,40 26:03.034,79 55:38.546,40.4342,-79.9274
216668,2022000837,2301,2301,2022,1,3,0,1,0,0,0,0,0,1,3,40 23:07.500,79 58:57.400,40.3854,-79.9826
216669,2022000838,2411,2411,2022,1,7,0,0,0,1,0,0,0,4,8,40 25:54.467,79 52:24.174,40.4318,-79.8734
216670,2022000914,2118,2118,2022,1,2,0,0,0,1,0,0,0,1,8,40 31:46.958,79 57:08.947,40.5297,-79.9525
216671,2022000925,2301,2301,2022,1,7,0,1,0,0,0,0,0,0,0,40 26:09.819,79 59:41.364,40.4361,-79.9948
216672,2022000929,2115,2115,2022,1,3,0,2,0,0,0,0,0,0,0,40 30:13.937,80 08:21.922,40.5039,-80.1394
